term,pos,comment,cs_CZ,de,es,fa,fr,it,ja,pt,pt_BR,ru,th_TH,vi,zh_CN,zh_TW
Arbitrator fee,Noun,,,Vermittler-Gebühr,tasa de arbitraje,,,,,,Taxa de arbitragem,,,,,
BSQ,Noun,,,BSQ,BSQ,,,,,BSQ,,BSQ,,,,
BTC,Noun,,,BTC,BTC,,,,,BTC,,,,,,
Bisq,Noun,,,Bisq,Bisq,,,,,Bisq,Bisq,,,,,
Bisq DAO,Noun,,,Bisq DAO,DAO Bisq,,,,,OAD do Bisq,DAO Bisq,,,,,
Bisq exchange,Noun,,,Bisq Tauschbörse,casa de cambio Bisq,,,,,mercado de câmbio do Bisq,exchange Bisq,,,,,
Bisq trade,Noun,,,Bisq-Trade,intercambio en Bisq,,,,,negócio do Bisq,negociação Bisq,сделка в Bisq,,,,
Bitcoin,Noun,,,Bitcoin,Bitcoin,,,,,Bitcoin,Bitcoin,,,,,
Blog,Noun,,,Blog,,,,,,,Blog,,,,,
Bond,Noun,,,Bindung,Garantía,,,,,,Depósito,,,,,
Bonding,Noun,,,Bindung,Garantías,,,,,Vinculação,,,,,,
Browse,Verb,,,Durchsuchen,navegar,,,,,Explorar,,,,,,
CLI wallet,Noun,,,CLI-Wallet,monedero CLI,,,,,carteira CLI,,,,,,
Contributor,Noun,,,Mitwirkender,,,,,,,Contribuidor,,,,,
DAO,Noun,,,DAO,DAO (fem),,,,,OAD,DAO,,,,,
Decentralized Autonomous Organization,Noun,,,Dezentrale Autonome Organisation,Organización Autónoma Decentralizada,,,Organizzazione Autonoma Decentralizzata,,Organização Autónoma Descentralizada,Organização Autônoma Descentralizada,децентрализованная автономная организация (ДАО),,,,
Downloads,Noun,,,Downloads,Descargas,,,,,,Downloads,,,,,
Exchanges,Noun,,,Tauschbörsen,,,,,,,Exchanges,,,,,
Fiat,Noun,,,Fiat,fiat,,,,,,,,,,,
GUI wallet,Noun,,,GUI Wallet,monedero GUI,,,,,carteira GUI,,кошелёк с графическим интерфейсом,,,,
Governance,Noun,,,Governance,Gobernanza,,,,,Governação,,,,,,
HalCash,Noun,,,HalCash,HalCash,,,,,HalCash,,,,,,
ID,Noun,,,ID,ID,,,,,ID,,,,,,
Open,Adjective,,,Offen,Abierto,,,,,Aberto,Aberto,,,,,
Open,Verb,,,Öffnen,Abrir,,,,,Abrir,Abrir,,,,,
P2P,Noun,,,P2P,P2P,,,,,P2P,P2P,,,,,
Tor,Noun,,,Tor,TOR,,,,,,,,,,,
Trade fee,Noun,,,Trade-Gebühr,tasa de intercambio,,,,,,Taxa de negociação,,,,,
UI,Noun,,,UI,"UI, Interfaz de Usuario",,,,,,,,,,,
account,Noun,,,Konto,cuenta,,,,,conta,conta,учётная запись,,,,
account age,Noun,,,Kontoalter,edad de cuenta,,,,,idade da conta,idade da conta,возраст учётной записи,,,,
alert,Noun,,,Warnung,alerta,,,,,alerta,alerta,,,,,
alert,Verb,,,warnen,alertar,,,,,alertar,alertar,,,,,
altcoin,Noun,short term for alternative coin (cryptocurrencies) other than Bitcoin,,Altcoin,altcoin,,,coin alternative,,altcoin,altcoin,альткойн,,,,
application,Noun,,,Anwendung,aplicación,,,applicazione,,programa,programa,приложение,,,,
arbitrator,Noun,,,Vermittler,árbitro,,,Arbitro,,árbitro,árbitro,арбитр,,,,
asset listing,Noun,,,Börsenzulassung,listado de activos,,,,,listagem de ativo,listagem de ativo,,,,,
asset listing fee,Noun,,,Börsenzulassungsgebühr,tasa de listado de activos,,,,,taxa de listagem de ativo,taxa de listagem de ativo,,,,,
authorisation number,Noun,,,Zulassungsnummer,número de autorización,,,,,número de autorização,número de autorização,,,,,
backup,Noun,,,Backup,copia de seguridad,,,,,,backup,,,,,
bank ID,Noun,,,Bankleitzahl,ID bancaria,,,,,ID do banco,ID do banco,,,,,
blind vote,Noun,,,Blindwahl,"votación secreta, voto secreto",,,,,voto às cegas,voto fechado,,,,,
blind vote phase,Noun,,,Blindwahlphase,fase de votación secreta,,,,,fase de voto às cegas,fase de voto fechado,,,,,
block,Noun,,,Block,bloque,,,,,bloco,bloco,,,,,
block explorer,Noun,,,Block-Explorer,explorador de bloques,,,,,explorador de blocos,explorador de blocos,обозреватель блоков,,,,
blockchain,Noun,,,Blockchain,"cadena de bloques, blockchain",,,,,blockchain,blockchain,блокчейн,,,,
blockchain confirmation,Noun,,,Blockchain-Bestätigung,confirmación en,,,,,confirmação da blockchain,confirmação da blockchain,,,,,
bonded role,Noun,,,gebundene Rolle,rol en garantía,,,,,cargo vínculado,,,,,,
bug,Noun,as in software bug,,Fehler,"error de software, bug",,,,,erro,,ошибка,,,,
burnt,Adjective,,,verbrannt,quemado,,,,,,,,,,,
buyer,Noun,,,Käufer,comprador,,,,,comprador,,,,,,
cartera,Noun,mistype??,,,"monedero, cartera",,,,,,,,,,,
censorship,Noun,,,Zensur,censura,,,,,,,,,,,
chain file,Noun,,,Chain-Datei,archivo de cadena,,,,,ficheiro da corrente,,,,,,
change output,Noun,,,Wechselgeld-Ausgabe,output de cambio,,,,,,,,,,,
chargeback,Noun,,,Rückbuchung,"devolución de cargo, chargeback",,,addebito,,estorno,,возвратный платёж,,,,
chargeback risk,Noun,,,Rückbuchungsrisiko,"riesgo de devolución de cargo, riesgo de chargeback",,,,,risco de estorno,,,,,,
checksum,Noun,,,Prüfsumme,checksum,,,verifica,,soma de verificação,código verificador,контрольная сумма,,,,
compensation request,Noun,,,Vergütungsantrag,solicitud de compensación,,,,,pedido de compensação,,запрос компенсации,,,,
configure,Verb,,,konfigurieren,configurar,,,,,configurar,configurar,,,,,
consensus,Noun,,,Konsens,consenso,,,,,,,,,,,
consensus rules,Noun,,,Konsens-Regeln,reglas de consenso,,,,,regras de consenso,regras de consenso,,,,,
corrupt,,,,korrumpieren,corromper,,,,,corromper,corromper,,,,,
corrupted,Adjective,,,korrumpiert,corrupto,,,,,corrompido,,,,,,
counterparty,Noun,,,Gegenpartei,contraparte,,,,,contraparte,,контрагент,,,,
cryptocurrency,Noun,,,Kryptowährung,criptomoneda,,,,,criptomoeda,,криптовалюта,,,,
currency,Noun,,,Währung,moneda,,,valuta,,moeda,moeda,валюта,,,,
current,Adjective,,,aktuell,actual,,,,,atual,,,,,,
current market price,Noun,,,aktueller Marktpreis,precio de mercado actual,,,,,preço de mercado atual,,,,,,
cycle,Noun,,,Zyklus,ciclo,,,,,ciclo,,,,,,
default,Adjective,,,standardmäßig,"predeterminado, por defecto",,,predefinito,,padrão,padrão,,,,,
deposit,Noun,,,Einzahlung,depósito,,,,,depósito,depósito,депозит,,,,
deposit,Verb,,,einzahlen,depositar,,,deposito,,depositar,depositar,счет,,,,
deposit transaction,,,,Einzahlungstransaktion,transacción de depósito,,,,,,,,,,,
deposit transaction,Noun,,,Einzahlungstransaktion,transacción de depósito,,,,,transação de depósito,,,,,,
desktop,Noun,,,Desktop,Escritorio,,,,,,desktop,,,,,
disable,Verb,,,deaktivieren,inhabilitar,,,,,,,,,,,
display,Noun,,,Anzeige,visualización,,,mostra,,demonstração,,отображение,,,,
display,Verb,,,anzeigen,mostrar,,,visualizza,,mostrar,,отобразить,,,,
dispute,Noun,,,Konflikt,disputa,,,disputa,,disputa,,спор,,,,
dispute case,Noun,,,Konfliktfall,caso de disputa,,,,,caso de disputa,,,,,,
document,Verb,,,dokumentieren,documentar,,,,,documentar,documentar,,,,,
double spend risk,Noun,,,Doppelausgabe-Risiko,riesgo de doble gasto,,,,,risco de gasto duplo,,,,,,
dust,Noun,as in very small bitcoin amounts,,Dust,dust,,,,,poeira,,пыль,,,,
elapsed,Verb,,,verstrichen,transcurrido,,,trascorso,,decorrido,,истекшее,,,,
evidence,Noun,,,Beweis,prueba / evidencia,,,prova,,evidência,evidência,доказательство,,,,
exchange,Noun,,,Tauschbörse,exchange,,,,,,,,,,,
external wallet,Noun,,,externe Wallet,monedero externo,,,,,carteira externa,,,,,,
facilitate,Verb,,,erleichtern,facilitar,,,,,facilitar,facilitar,,,,,
fee,Noun,,,Gebühr,"tarifa, costo, comisión, gasto, tasa",,,,,taxa,taxa,сбор,,,,
fee currency,Noun,,,Gebühren-Währung,moneda para tasas,,,,,moeda da taxa,moeda da taxa,валюта сбора,,,,
feed,Noun,as in market price feed,,Feed,fuente,,,feed,,feed,,список,,,,
flag,Noun,,,Flag,bandera,,,,,marcador,,,,,,
full,Adjective,,,voll,"lleno, completo",,,,,completo,completo,,,,,
funding fee,Noun,,,Finanzierungsgebühr,"comisión por deposito de fondos, tasa por depósito de fondos",,,,,taxa de financiamento,taxa de de financiamento,,,,,
funding transaction,Noun,,,Finanzierungstransaktion,transacción de depósito de fondos,,,,,transação de financiamento,transação de financiamento,,,,,
funds,Noun,,,Fonds,fondos,,,Fondi,,fundos,fundos,средства,,,,
generate,Verb,,,generieren,generar,,,crea,,gerar,,,,,,
generic proposal,Noun,,,allgemeiner Vorschlag,propuesta genérica,,,,,proposta genérica,,,,,,
genesis distribution,Noun,,,Genesis-Distribution,distribución génesis,,,,,distribuição genesis,distribuição gênese,,,,,
genesis transaction,Noun,,,Genesis-Transaktion,transacción génesis,,,,,transação genesis,,первичная транзакция,,,,
get tx key,,,,get tx key,conseguir clave tx,,,,,ober a chave da tx,,,,,,
history,Noun,,,Verlauf,historial,,,Storico,,histórico,histórico,история,,,,
inactivity,Noun,,,Inaktivität,inactividad,,,,,,,,,,,
interface,Noun,,,Interface,interfaz,,,,,,interface,,,,,
invalid,Adjective,,,ungültig,inválido,,,,,inválido,,,,,,
irregular,Adjective,,,unregelmäßig,irregular,,,,,,,,,,,
issuance,Noun,,,Ausgabe,emisión,,,,,,,эмиссия,,,,
key,Noun,,,Schlüssel,clave,,,chiave,,chave,chave,ключ,,,,
local Bisq wallet,Noun,,,lokale Bisq Wallet,cartera Bisq local,,,,,carteira Bisq local,carteira local da Bisq,локальный Bisq кошелёк,,,,
localhost,Noun,,,localhost,localhost,,,,,localhost,,локальный узел,,,,
lockup,Noun,,,Sperre,bloqueo,,,,,bloquear,,блокирование,,,,
log file,Noun,,,Log-Datei,archivo registro / archivo log,,,,,ficheiro de log,,,,,,
mainnet,Noun,,,Mainnet,red principal / mainnet,,,,,mainnet,mainnet,,,,,
maker,Noun,"as in offer maker, that is the person who makes an offer for a trade",,Anbieter,creador,,,,,ofertante,Ofertante,мейкер,,,,
maker fee,Noun,,,Anbietergebühr,tasa de creador,,,,,taxa de ofertante,,комиссия мейкера,,,,
market price,Noun,,,Marktpreis,precio de mercado,,,,,preço de mercado,preço de mercado,рыночный курс,,,,
miner,Noun,,,Miner,minero,,,,,mineiro,mineiro,,,,,
miner fee,Noun,,,Minergebühr,tasa para minero,,,,,taxa do mineiro,taxa de mineração,,,,,
mining,Noun,,,Mining,minado,,,,,mineração,mineração,,,,,
mining fee,Noun,,,Mining-Gebühr,"tasa de minado, tarifa de minado",,,Commissione di mining,,taxa de mineração,taxa de mineração,комиссия майнера,,,,
mode,Noun,,,Modus,modo,,,,,,,,,,,
multisig,Noun,short term for multi-signature,,Multisig,multifirma,,,,,multi-assinatura,multi-assinatura,,,,,
multisig deposit,Noun,,,Multisig Einzahlung,depósito multifirma,,,,,depósito multi-assinatura,,,,,,
my open offers,Noun,as in the offer book,,Meine offenen Angebote,mis ofertas publicadas,,,le mie offerte aperte,,as minhas ofertas abertas,minhas ofertas em aberto,мои открытые предложения,,,,
my open trades,Noun,,,Meine offenen Trades,mis intercambios pendientes,,,i miei scambi aperti,,os meus negócios abertos,minhas negociações em aberto,мои открытые сделки,,,,
national currency,Noun,,,Nationalwährung,moneda nacional,,,valuta nazionale,,moeda nacional,moeda nacional,национальные валюты,,,,
network connection,Noun,,,Netzwerk-Verbindung,"conexión de red, conexión a la red",,,,,conexão de rede,,сетевое соединение,,,,
node,Noun,,,Node,nodo,,,,,nó,,узел,,,,
offer alert,Noun,,,Angebotswarnung,alerta de oferta,,,,,alerta de oferta,,,,,,
offer book,Noun,,,Angebotsbuch,libro de ofertas,,,registro offerta,,livro de ofertas,livro de ofertas,книга предложений,,,,
offerbook,Noun,,,Angebotsbuch,libro de ofertas,,,,,,,,,,,
onion address,Noun,,,Onion-Adresse,dirección onion,,,,,,,onion-адрес,,,,
open,Adjective,,,offen,,,,,,,aberta,,,,,
open dispute,Verb,,,Streitfall eröffnen,Abrir disputa,,,,,disputa aberta,abrir disputa,,,,,
open log file,Verb,,,Log-Datei öffnen,"Abrir archivo log, abrir archivo de registro",,,,,,abrir arquivo de log,,,,,
open support ticket,Verb,,,Support-Ticket öffnen,abrir solicitud de soporte,,,Apri supporto,,bilhete de apoio aberto,abrir ticket de suport,открытый запрос в службу поддержки,,,,
open trades,Noun,,,Offene Trades,intercambios abiertos,,,,,negócios abertos,negociações em aberto,,,,,
optional,Adjective,,,optional,opcional,,,opzionale,,opcional,opcional,необязательно,,,,
output,Noun,,,Ausgabe,output,,,,,,,,,,,
overview,Noun,,,Überblick,"vista general, vistazo",,,,,visão global,,,,,,
page,Noun,,,Seite,página,,,,,,página,,,,,
paper receipt,Noun,,,Papier-Beleg,recibo de papel,,,ricevuta cartacea,,recibo de papel,recibo de papel,бумажная квитанция,,,,
password protection,Noun,,,Passwort-Schutz,protección de pago,,,,,proteção por senha,,,,,,
payment account,Noun,,,Zahlungskonto,cuenta de pago,,,,,conta de pagamento,,платёжный счёт,,,,
payment method,Noun,,,Zahlungsmethode,método de pago,,,,,método de pagamento,,метод платежа,,,,
payment started,Noun,,,Zahlung begonnen,pago iniciado,,,,,,,,,,,
payout amount,Noun,,,Auszahlungsbetrag,cantidad de pago,,,,,quantia do pagamento,,,,,,
peer,Noun,as in network peer,,Peer,par,,,coetaneo,,par,par,пэр,,,,
pending,Adverb,,,ausstehend,pendiente,,,,,pendente,à espera,незавершено,,,,
per-trade limit,Noun,,,Pro-Trade-Limit,limite por intercambio,,,,,limite por negócio,,,,,,
percentage distance,Noun,,,prozentuale Distanz,distancia en porcentaje,,,,,distância da percentagem,,,,,,
portfolio,Noun,,,Portfolio,portafolio,,,portafoglio,,portefólio,portfolio,,,,,
price alert,Noun,,,Preis-Warnung,alerta de precio,,,,,alerta de preço,,,,,,
price distance,Noun,,,Preis-Distanz,"distancia de precio, distancia de mercado",,,,,distância do preço,,,,,,
price feed,Noun,,,Preis-Feed,fuente de precios,,,,,feed do preço,,,,,,
privacy,Noun,,,Privatsphäre,privacidad,,,vita privata,,privacidade,privacidade,конфиденциальность,,,,
private key,Noun,,,privater Schlüssel,clave privada,,,,,chave privada,chave privada,приватный ключ,,,,
proof,Noun,,,Beweis,prueba,,,,,prova,,,,,,
proposal fee,Noun,,,Antragsgebühr,tasa de propuesta,,,,,taxa de proposta,,,,,,
proposal phase,Noun,,,Antragsphase,fase de propuesta,,,,,fase de proposta,,,,,,
proposal type,Noun,,,Antragstyp,tipo de propuesta,,,,,tipo de proposta,,,,,,
pruned mode,Noun,as in the Bitcoin Core client implementation,,Pruned Modus,modo de registro reducido (pruned mode),,,,,modo pruned,,,,,,
public address,Noun,,,Öffentliche Adresse,dirección pública,,,,,endereço público,,,,,,
publish,Verb,,,veröffentlichen,publicar,,,,,publicar,,,,,,
quantity,Noun,,,Menge,cantidad,,,,,,,,,,,
reason for payment,Noun,,,Zahlungsgrund,concepto de pago,,,motivo per il pagamento,,razão para pagamento,motivo para pagamento,причина оплаты,,,,
receiver,Noun,,,Empfänger,receptor,,,,,recipiente,,,,,,
reimbursement,Noun,,,Kostenerstattung,reembolso,,,,,reembolso,,возврат средств,,,,
reimbursement request,Noun,,,Kostenerstattungsanfrage,petición de reembolso,,,,,pedido de reembolso,,запрос на возврат средств,,,,
request,Noun,,,Anfrage,petición,,,,,pedido,,,,,,
request,Verb,,,anfragen,pedir,,,,,pedir,,,,,,
requirements,Noun,,,Anforderungen,requisitos,,,,,requerimentos,requisitos,,,,,
run,Verb,,,betreiben,ejecutar,,,,,executar,executar,,,,,
scam,Noun,,,Betrug,"timo, estafa",,,,,,,,,,,
screen,Noun,as in TV screen,,Bildschirm,pantalla,,,,,ecrã,,экран,,,,
security,Noun,,,Sicherheit,seguridad,,,sicurezza,,segurança,segurança,,,,,
security deposit,Noun,,,Kaution,depósito de seguridad,,,deposito di sicurezza,,depósito de segurança,depósito de segurança,залоговая сумма,,,,
seed,Noun,as seed node in a p2p network,,Seed,"seed, semilla",,,seme parola,,semente,palavra semente,сид,,,,
seed node,Noun,,,Seed Node,nodo semilla,,,,,,,исходный узел,,,,
seed words,Noun,,,Seed Wörter,palabras semilla,,,,,,,мнемоническая фраза,,,,
seller,Noun,,,Verkäufer,vendedor,,,,,vendedor,,,,,,
sender,Noun,,,Absender,emisor,,,,,remetente,,,,,,
settings,Noun,,,Einstellungen,"configuraciones, configuración",,,,,,,,,,,
software,Noun,,,Software,software,,,,,software,software,,,,,
stake,Noun,,,Stake,"cantidad en juego, apuesta, stake",,,,,,,,,,,
standby,Noun,as in computer in standby mode,,Standby,"en espera, en suspensión, standby",,,,,espera,,ожидание,,,,
standby mode,Noun,,,Standby-Modus,modo en suspensión,,,,,,,,,,,
support ticket,Noun,,,Support-Ticket,ticket de soporte,,,,,,,запрос в службу поддержки,,,,
tab,Noun,,,Tab,pestaña,,,,,,,,,,,
take the offer,,,,Das Angebot annehmen,tomar la oferta,,,,,aceitar a oferta,,принять предложение,,,,
taker,Noun,"as in offer taker, that is the person who takes/accepts an offer for a trade",,Käufer,tomador,,,,,aceitador,,тейкер,,,,
taker fee,Noun,,,Käufer-Gebühr,tasa de tomador,,,,,,,комиссия тейкера,,,,
testnet,Noun,,,Testnet,"red de pruebas, testnet",,,,,testnet,,,,,,
threshold,Noun,,,Schwellenwert,umbral,,,,,limite,limite,,,,,
timeout,Noun,,,Zeitüberschreitung,límite de tiempo,,,,,tempo esgotado,,,,,,
token,Noun,,,Token,token,,,,,,,,,,,
total mining fees,Noun,,,Mining-Gebühren insgesamt,tasas de minado totales,,,,,total das taxas de mineração,total em taxas de mineração,общая комиссия майнера,,,,
tracking number,Noun,,,Tracking-Nummer,número de seguimiento,,,,,,,,,,,
trade,Noun,,,Trade,intercambio/transacción,,,Scambio,,negócio,Negociação,сделка,,,,
trade,Verb,,,traden,intercambiar,,,,,negociar,negociar,,,,,
trade ID,Noun,,,Trade-ID,ID de intercambio,,,,,ID do negócio,,Идентификатор сделки,,,,
trade account,Noun,,,Trade-Konto,cuenta de intercambio,,,,,conta de negócio,,торговый счёт,,,,
trade amount,Noun,,,Trade-Betrag,monto de transacción,,,,,quantia de negócio,,сумма сделки,,,,
trade fee,Noun,,,Trade-Gebühr,tasa de intercambio,,,,,taxa de negócio,taxa de negociação,торговый сбор,,,,
trade limit,Noun,,,Trade-Limit,límite de transacción,,,,,limite de negócio,,торговый лимит,,,,
trade period,Noun,,,Trade-Periode,periodo de intercambio,,,,,período de negócio,,,,,,
trade price,Noun,,,Trade-Preis,precio de intercambio,,,,,preço de negócio,,цена сделки,,,,
trade process,Noun,,,Trade-Prozess,proceso de intercambio,,,,,processo de negócio,,,,,,
trade protocol,Noun,,,Trade-Protokoll,protocolo de intercambio,,,,,protocolo de negócio,,торговый протокол,,,,
trader,Noun,,,Trader,"comerciante, trader",,,,,negociador,negociador,трейдер,,,,
traders,Noun,,,Trader,,,,,,,negociadores,,,,,
trading,Noun,,,Trading,intercambiar,,,,,negociação,,,,,,
trading account,Noun,,,Trading-Konto,cuenta de intercambio,,,,,conta de negociação,,,,,,
trading amount,Noun,,,Trading-Betrag,cantidad a intercambiar,,,,,quantia de negociação,,,,,,
trading fee,Noun,,,Trading-Gebühr,costo de intercambio,,,Commissione di scambio,,taxa de negociação,Taxa de negociação,торговый сбор,,,,
trading partner,Noun,,,Trading-Partner,compañero en intercambio,,,,,par de negociação,,контрагент,,,,
trading peer,Noun,,,Trading-Peer,par de intercambio,,,,,par de negociação,parceiro de negociação,,,,,
transaction,Noun,,,Transaktion,transacción,,,,,transação,,,,,,
transaction ID,Noun,,,ID der Transaktion,ID de transacción,,,,,ID da transação,,,,,,
transaction fee,Noun,,,Transaktionsgebühr,tasa de transacción,,,,,taxa da transação,,,,,,
transaction hash,Noun,,,Hash der Transaktion,hash de transacción,,,,,hash da transação,,хеш транзакции,,,,
transaction private key,Noun,,,Private Key der Transaktion,clave privada de transacción,,,,,chave privada da transação,,приватный ключ транзакции,,,,
transfer,Noun,,,Transfer,transferencia,,,,,transferência,,,,,,
transfer,Verb,,,transferieren,transferir,,,,,transferir,,,,,,
trial period,Noun,,,Probezeit,periodo de prueba,,,,,período de teste,,,,,,
trigger price,Noun,,,Auslösepreis,precio de activación,,,,,,,,,,,
tx,Noun,,,tx,"tx, transacción",,,,,tx,,,,,,
unhandled,Verb,as in unhandled software error,,unbehandelt,desatendido,,,,,não tratado,,,,,,
unlock,Verb,,,entsperren,desbloquear,,,,,debloquear,,,,,,
value,Noun,,,Wert,valor,,,,,valor,,,,,,
vote result,Noun,,,Abstimmungsergebnis,resultado de votación,,,,,resultado da votação,,,,,,
vote reveal phase,Noun,,,Abstimmungsveröffentlichungsphase,fase de revelación de voto,,,,,fase de revelação do voto,,этап выявления голосов,,,,
vote weight,Noun,,,Stimmgewicht,peso de voto,,,,,peso do voto,,,,,,
votes,Noun,,,Stimmen,votos,,,,,votos,,,,,,
voting,Noun,,,Abstimmung,"voto, votando, votación",,,,,votação,,,,,,
voting cycle,Noun,,,Abstimmungszyklus,ciclo de votación,,,,,ciclo de votação,,,,,,
wallet,Noun,,,Wallet,"cartera, monedero",,,,,carteira,carteira,кошелёк,,,,
wallet application,Noun,,,Wallet-Applikation,aplicación de monedero,,,,,,carteira,,,,,
wallet balance,Noun,,,Wallet-Guthaben,balance de monedero,,,,,saldo da carteira,,,,,,
wallet password,Noun,,,Wallet-Passwort,password de monedero,,,,,senha da carteira,,,,,,
wallet seed,Noun,,,Wallet Seed,semilla de monedero,,,,,semente da carteira,,,,,,
withdraw,Verb,,,abheben,retirar,,,ritirare,,levantar,sacar,снять,,,,
withdrawal,Noun,,,Abhebung,retiro,,,prelevare,,levantamento,retirada,снятие,,,,
within this,Preposition,,,innerhalb dieses,dentro de este,,,,,,,,,,,
