term,pos,comment,ach,comment_ach,af,comment_af,am,comment_am,ar,comment_ar,az,comment_az,be,comment_be,bg,comment_bg,bn,comment_bn,bs,comment_bs,ca,comment_ca,cmn,comment_cmn,cs,comment_cs,cy,comment_cy,da,comment_da,de,comment_de,el,comment_el,en_GB,comment_en_GB,eo,comment_eo,es,comment_es,es_CL,comment_es_CL,es_CO,comment_es_CO,es_DO,comment_es_DO,es_MX,comment_es_MX,es_VE,comment_es_VE,et,comment_et,eu,comment_eu,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,hy,comment_hy,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,kk,comment_kk,km,comment_km,ko,comment_ko,ku_IQ,comment_ku_IQ,ky,comment_ky,la,comment_la,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr_IN,comment_mr_IN,ms,comment_ms,my,comment_my,nb,comment_nb,ne,comment_ne,nl,comment_nl,pam,comment_pam,pl,comment_pl,pt,comment_pt,pt_BR,comment_pt_BR,ro,comment_ro,ru,comment_ru,sah,comment_sah,si,comment_si,sk,comment_sk,sl,comment_sl,sn,comment_sn,sq,comment_sq,sr,comment_sr,sr@latin,comment_sr@latin,sv,comment_sv,szl,comment_szl,ta,comment_ta,te,comment_te,th,comment_th,tr,comment_tr,tt,comment_tt,uk,comment_uk,ur,comment_ur,uz@Cyrl,comment_uz@Cyrl,uz@Latn,comment_uz@Latn,vi,comment_vi,yo,comment_yo,zh,comment_zh,zh-Hans,comment_zh-Hans,zh_CN,comment_zh_CN,zh_HK,comment_zh_HK,zh_TW,comment_zh_TW,zu,comment_zu
Bitcoin,Noun,,,,,,,,,,,,,,,,,,,,Bitcoin,,,,,,,,Bitcoin,,Bitcoin,,,,,,,,Bitcoin,,,,Bitcoin,,,,,,,,,,,,,,,,,,Bitcoin,,ביטקוין,,,,,,,,,,Bitcoin,,,,Bitcoin,,ビットコイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bitcoin,"I was told there's a difference between Bitcoin and bitcoin. Capital Bitcoin is the network, bitcoin is the currency. In dutch language both are not translated.",,,Bitcoin,,,,,,,,Биткойн,,,,,,,,,,,,,,,,,,Bitcoin,,,,பிட்காயின்,,బిట్‌కాయిన్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right-click,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ចុចខាងស្តាំ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,Noun,,,,,,,,عنوان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatically,Adverb,,,,outomaties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automático,,,,,,,,,,Automaticamente,,,,,,,,,,,,,,,,,,,,,,,,Otomatis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatisch,,,,,,,,,,,,Автоматически,,,,,,,,,,,,,,,,,,Automatiskt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockchain,Noun,,,,,,,,سلسلة الكتل,,,,,,,,,,,,,,,,,,,,Blokkæde,,Blockchain,,,,,,,,,,,,,,,,,,Cadena  de bloque,,,,,,,,,,,,chaîne de blocs,,בלוקצ'יין,,,,,,,,,,,,,,,,ブロック チェーン,,ბლოკჩეინი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blockchain,"Please, see my block remark",,, łańcuch bloków,,,,,,,,Блокчейн,,,,,,,,,,,,,,,,,,Blockkedja,,,,பிளாக்செயின்,,బ్లాక్ చైన్,,,,Blok zinciri,,,,Ланцюжок блоків,,,,,,,,,,,,,,,,,,,,,,,
Change,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coin Control,Noun,"Should this be regarded as a proper name, or the term being translated into the local language?
*-*-
This is a noun, and should be translated as such.",,,Muntbeheer,,,,,,,,,,Контрол но монетите,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contrôle des pièces,,בקרת מטבעות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontrola Monet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,錢幣控制,,,
Confirmations,Noun,,,,Bevestigings,,,,,,,,,,Потвърждения,,,,,,,,,,,,,,Bekræftelser,,Bestätigungen,,,,,,,,Confirmaciones,,,,,,,,,,,,,,,,,,Varmistuksia,,,,confirmations,,,,,,Potvrde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bevestigingen,,,,Potwierdzenia,,,,,,,,,,,,,,,,,,,,,,,,,,Bekräftelser,,,,,,నిర్ధారణలు,,,,Doğrulama,,,,,,,,,,,,,,,,,,,,确认数,,,,確認,,,
Copy,Verb,,,,,,,,نسخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopiera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy address,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse kopieren,,,,,,,,Copiar dirección,,,,,,,,,,,,,,,,,,,,,,,,העתיקו את הכתובת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopiera adress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debit,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edit Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adresse bearbeiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redigera adress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,Noun,,,,Kenmerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Características,,,,,,,,,,,,,,,,,,,,,,fonctions,"Aussi : caractéristiques.
Attention, le mot « fonctionnalité » veut dire : Caractère d’un bien ou d’un service qui répond à sa finalité, et qui est donc fonctionnel et pratique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functies,Functies is een prima vertaling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رابط کاربری,,käyttöliittymä,,,,IUG,interface utilisateur graphique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUI,,,,GUI,,,,,,,GUI (interfața grafică),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grafik Arayüzü,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabecera,,,,,,,,,,,,,,,,,,,,,,en-tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kop,,,,,,,,,,,Antet,,,,,,,,,,,,,,,,,,,Huvud,,,,,,శీర్షిక,,,,Üstbilgi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headers,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabeceras,,,,,,,,,,,,,,,,,,,,,,en-têtes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huvuden,,,,,,శీర్షికలు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Noun,,,,,,,,,,,,,,ID,,,,,,,,,,,,,,,,,,,,,,identigilo,,ID,,,,,,,,,,,,,,,,,,,,,,ID,,מזהה,,,,ID,,,,,,,,,,,,,,"ID, იდენტიფიკატორი",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,識別碼,,,
IPv4,Noun,,,,IPv4,,,,,,,,,,,,,,,,,,,,,,,,IPv4,,,,,,,,,,IPv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPv4,,,,IPv4,,,,,,,,,,,,,,,,,,,,,,,,,,IPv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information,Noun,,,,Informasie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Información,,,,,,,,,,,,,,,,,,,,,,,,מידע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrada,,,,,,,,,,,,,,,,ورودی,,,,,,entrée,,קלט,,,,Unos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoer,,,,Wejście,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ఇన్‌పుట్,,,,,,,,,,,,,,,,,,,,,,,,,,,,收入,,,
Invalid,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inválido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non valido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niet toegestane,,,,Nieważny,,,,,,,,,,,,,,,,,,,,,,,,,,Ogiltig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label,Verb,,,,Etiketeer.,,,,وُسم,,,,,,,,,,,,,,,,,,,,Mærke,,,,,,,,,,Etiquetar,,,,,,,,,,,,,,,,,,,,,,étiqueter,,,,,,,,,,,,,,,,etichettare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oznaczać,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,లేబుల్,,,,etiketlemek,,,,,,,,,,,,,,,,,,,,,,,,,,,
Label ,Noun,,,,Etiket,,,,وسم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etiqueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,లేబుల్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockbox,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiB,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mio,"Pour éviter toute ambiguïté, la Commission électrotechnique internationale (CEI) recommande de remplacer le terme mégaoctet par mébioctet (symbole : Mio), dont l'équivalent en anglais est mebibyte (symbole : MiB), si l’on désire exprimer la valeur binaire de la capacité de stockage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New sending adress,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Output,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salida,,,,,,,,,,,,,,,,,,,,,,sortie,,פלט,,,,Izlaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyjście,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,支出,,,
PSBT,Noun,Partially Signed Bitcoin Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR code,Noun,,,,,,,,الرمز المربع,,,,,,,,,,,,,,,,,,,,QR-kode,,,,,,,,,,código QR,,,,,,,,,,,,,,,,,,,,,,code QR,,,,,,,,,,,,,,,,,,QRコード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QR code,,,,kod QR,,,,,,,,,,,,,,,,,,,,,,,,,,QR-kod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove,Verb,,,,Verwyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eliminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verwijder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replace-By-Fee,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Replace-By-Fee,,,,,,,,,,,,,,,,,,,,,,,,עמלה-ניתנת-לשינוי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solicitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zażądać,,,,,,,,,,,,,,,,,,,,,,,,,,Begära,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threshold,Noun,,,,Drumpel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umbral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,しきい値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction,Noun,,,,Transaksie,,,,,,,,,,,,,,,,,,,,,,,,Transaktion,,Transaktion,,,,,,,,Transacción,,,,,,,,,,,,,,,,,,,,,,,,עסקה,,,,Prijenos,,Tranzakció,,,,,,,,,,トランザクション,,ტრანსაქცია,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transactie,,,,transakcja,,,,,,,tranzacție,,,,,,,,,,,,,,,,,,,Transaktion,,,,,,లావాదేవీ,,,,İşlem,,,,Транзакція,,,,,,,,,,,,,,,,,,,,交易,,,
Type,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,Noun,,,,,,,,,,,,,,,,,,,,URI,masculí,,,,,,,URI,,,,,,,,,,URI,,,,,,,,,,,,,,,,,,,,,,URI,n. f.,כתובת משאב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,資源識別碼,,,
URL,Noun,,,,,,,,,,,,,,,,,,,,URL,masculí,,,,,,,URL,,,,,,,,,,URL,,,,,,,,,,,,,,,,نشانی اینترنتی,,,,,,URL,n. f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,網址連結,,,
Unknown,Noun,,,,Onbekende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desconocido,,,,,,,,,,,,,,,,,,,,,,,,לא ידוע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallet,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,кошелька,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Noun,,,,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,Да,,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active,Adjective,,,,,,,,فعال,,,,,,,,,,,,actiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active,Adverb,,,,,,,,مفعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity,Noun,,,,aktiewiteit,,,,تفعيل,,,,,,,,,,,,activitat,,,,,,,,,,Aktivität,,,,,,,,actividad,,,,Actividad,,,,,,actividad,,,,,,,,,,,,activité,,פעילות,,,,,,,,,,Aktivitas,,,,,,アクティビティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activiteit,,,,,,,,,,,,активность,,,,,,,,,,,,,,,,,,aktivitet,,,,,,,,,,,,,,Активність,,,,,,,,,,,,,,,,,,,,,,,
address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,адресом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address,Noun,,,,adres,,,,عنوان,,,,,,,,,,,,adreça,,,,,,,,adresse,,,,,,,,,,dirección,,,,dirección,,,,,,dirección,,,,,,آدرس,,osoite,,,,adresse,,כתובת,,,,,,,,,,Alamat,,,,indirizzo,,アドレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adres,,,,adres,,,,,,,adresă,адрес,,,,,,,,naslov,,,,,,,,,,adress,,,,,,,,,,,,,,адреса,,,,,,,,,,,,,,,,,,,,,,,
address book,Noun,,,,,,,,سجل عناوين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libro de direcciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imenik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address list,Noun,,,,adres lys,,,,قائمة عنواين,,,,,,,,,,,,,,,,,,,,,,Adressliste,,,,,,,,lista de direcciones,,,,lista de direcciones,,,,,,Lista de direcciones,,,,,,لیست آدرس,,,,,,,,רשימת כתובות,,,,,,,,,,,,,,elenco indirizzi,,アドレス リスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adressenlijst,,,,,,,,,,,lista adreselor,список адресов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addresses,Noun,,,,,,,,عناوين,,,,,,,,,,,,adreces,,,,,,,,,,,,,,,,,,direcciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
