term,pos,comment,ach,comment_ach,af,comment_af,am,comment_am,ar,comment_ar,az,comment_az,be,comment_be,bg,comment_bg,bn,comment_bn,bs,comment_bs,ca,comment_ca,cmn,comment_cmn,cs,comment_cs,cy,comment_cy,da,comment_da,de,comment_de,el,comment_el,en_GB,comment_en_GB,eo,comment_eo,es,comment_es,es_CL,comment_es_CL,es_CO,comment_es_CO,es_DO,comment_es_DO,es_MX,comment_es_MX,es_VE,comment_es_VE,et,comment_et,eu,comment_eu,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,hy,comment_hy,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,kk,comment_kk,km,comment_km,ko,comment_ko,ku_IQ,comment_ku_IQ,ky,comment_ky,la,comment_la,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr_IN,comment_mr_IN,ms,comment_ms,my,comment_my,nb,comment_nb,ne,comment_ne,nl,comment_nl,pam,comment_pam,pl,comment_pl,pt,comment_pt,pt_BR,comment_pt_BR,ro,comment_ro,ru,comment_ru,sah,comment_sah,si,comment_si,sk,comment_sk,sl,comment_sl,sn,comment_sn,sq,comment_sq,sr,comment_sr,sr@latin,comment_sr@latin,sv,comment_sv,szl,comment_szl,ta,comment_ta,te,comment_te,th,comment_th,tr,comment_tr,tt,comment_tt,uk,comment_uk,ur,comment_ur,uz@Cyrl,comment_uz@Cyrl,uz@Latn,comment_uz@Latn,vi,comment_vi,yo,comment_yo,zh,comment_zh,zh-Hans,comment_zh-Hans,zh_CN,comment_zh_CN,zh_HK,comment_zh_HK,zh_TW,comment_zh_TW,zu,comment_zu
connection,Noun,,,,,,,,,,,,,,свързване,,,,,,,,,,,,,,forbindelse,,Verbindung,,,,,,konekto,,conexión,,,,,,,,,,,,,,,,اتصال,,yhteys,,,,connexion,,חיבור,,,,veza,,,,,,,,,,connessione,,接続,,შეერთება,,,,,,,,,,,,conexio conexionis (f.),,,,,,,,,,,,,,,,,,,,,,verbinding,,,,połączenie,,,,,,,conexiune,,,,,,,,,,,,,,,,,,,,,,,,,అనుసంధానం,,,,bağlantı,,,,з'єднання,,,,,,,,,,,,,,,,连接,,,,連線,,,
connections,Noun,,,,,,,,,,,,,,,,,,,,connexions,,,,,,,,forbindelser,,Verbindungen,,,,,,,,conexiones,,,,,,,,,,,,,,,,,,,,,,connexions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verbindingen,,,,połączenia,,,,,,,conexiuni,,,,,,,,,,,,,,,,,,,,,,,,,అనుసంధానాలు,,,,bağlantılar,,,,,,,,,,,,,,,,,,,,,,,,,,,
console,Noun,,,,,,,,وحدة التحكم,,,,,,конзола,,,,,,,,,,,,,,konsol,,Konsole,,,,,,,,consola,,,,,,,,,,,,,,,,,,,,,,console,,מסוף בקרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,konsola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,కన్సోల్,,,,konsol,,,,,,,,,,,,,,,,,,,,,,,,控制台,,,
continue,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cookie,Noun,,,,,,,,,,,,,,,,,,,,galeta,,,,,,,,cookie,,,,,,,,,,cookie,,,,,,,,,,,,,,,,,,eväste,,,,témoin,fichier témoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cookie,,,,ciastko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,కుకీ,,,,çerez,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy,Noun,,,,,,,,,,,,,,,,,,,,còpia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create,Verb,,,,skep,,,,,,,,,,създавам,,,,,,,,,,,,,,oprette,,erstellen,,,,,,krei,,crear,,,,,,,,,,,,,,,,ساختن,,,,,,créer,,יצירה,,,,stvori,ili kreiraj?,,,,,,,,,,,,,"შექმნა, გახსნა",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creëer,,,,stworzyć,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,సృష్టించు,,,,oluşturmak,,,,створити,,,,,,,,,,,,,,,,,,,,產生,,,
current,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angepasst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,personnalisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niestandardowe,,,,,,,personalizat,,,,,,,,,,,,,,,,,,,anpassad,,,,,,,,,,özel,,,,,,,,,,,,,,,,,,,,,,,,自訂,,,
daemon,Noun,,,,,,,,,,,,,,демон,,,,,,,,,,,,,,,,,,,,,,demono,,servicio,"También traducido como ""demonio"" en algunas ocasiones, pero es más común el uso de ""servicio"".",,,,,,,,,,,,,,,,,,,,,démon,,,,,,,,,,,,,,,,,,,,დემონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,డెమోన్,,,,,,,,демон,,,,,,,,,,,,,,,,,,,,護靈,背景程式,,
data,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data dir,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,datamappe,,Datenverzeichnis,,,,,,,,,,,,,,,,,,,,,,,,,,data-hakemisto,,,,répertoire des données,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gegevensmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data directory,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,datamappe,,Datenverzeichnis,,,,,,,,directorio de datos,,,,,,,,,,,,,,,,,,data-hakemisto,,,,répertoire des données,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gegevensmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Datenbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,தகவல்தளம்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datadir,,,,,,,,,,,,,,,работна директория,,,,,,,,,,,,,,datamappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gegevensmap,,,,katalog danych,,,,,Pasta de dados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,資料目錄,,,
datadir,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,datamappe,,Datenverzeichnis,,,,,,,,,,,,,,,,,,,,,,,,,,data-hakemisto,,,,répertoire des données,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gegevensmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,Noun,,,,dag,,,,,,,,,,,,,,,,,,,,,,,,,,Tag,,,,,,,,día,,,,,,,,,,,,,,,,,,,,,,,,יום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days,Noun,,,,dae,,,,,,,,,,,,,,,,,,,,,,,,,,Tage,,,,,,,,días,,,,,,,,,,,,,,,,,,,,,,,,ימים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debug,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de depuración,,,,,,,,,,,,,,,,,,,,,,de débogage,,,,,,,,,,,,,,,,,,デバッグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hata ayıklama,,,,,,,,,,,,,,,,,,,,,,,,除錯,,,
debug,Verb,,,,,,,,,,,,,,тестов,Според контекста,,,,,,,,,,,,,,,debuggen,,,,,,sencimigi,,depurar,,,,,,,,,,,,,,,,اشکال زدایی,,,,,,déboguer,,,,,,,,,,,,,,,,,,デバッグ,,დახვეწა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hata ayıklamak,,,,,,,,,,,,,,,,,,,,,,,,除錯,,,
decrypt,Verb,,,,,,,,,,,,,,дешифрирам,,,,,,,,,,,,,,afkryptere,,entschlüsseln,,,,,,malĉifri,,descifrar,,,,,,,,,,,,,,,,,,,,,,déchiffrer,,פענוח,,,,dešifrirati,,,,,,,,,,decifrare,,復号する,,გაშიფრვა,,,,,,,,,,,,decifrare decifravisse decifratum,,,,,,,,,,,,,,,,,,,,,,ontsleutel,,,,odszyfrować,,,,,,,,,,,,,,,,,,,,,,,,,,dekryptera,,,,,,,,,,şifre çözmek,,,,,,,,,,,,,,,,,,,,解密,,,,解密,解鎖,,
decryption,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,פענוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default,,,,,verstek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par défaut,,,,,,,,,,,,,,,,,,初期値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standaard,,,,domyślnie,,,,,,,implicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,önseçili değer,,,,,,,,,,,,,,,,,,,,,,,,預設(值),,,
default,Adjective,,,,,,,,,,,,,,подразбиращ се,,,,,,,,,,,,,,standard,,,,,,,,defaŭlta,,"por defecto, predeterminado",,,,,,,,,,,,,,,,,,oletus,,,,par défaut,,בררת מחדל,,,,zadano,,,,,,,,,,,,初期値,,ნაგულისხმევი,,,,,,,,,,,,praedefinitus/a/um,,,,,,,,,,,,,,,,,,,,,,standaard,,,,domyślny,,,,,,,implicit,по умолчанию,,,,,,,,,,,,,,,,,,,,,,,,,,,,önseçili,,,,типовий,,,,,,,,,,,,,,,,默认,,,,預設,,,
default,Noun,,,,verstek,,,,,,,,,,подразбран,,,,,,,,,,,,,,standard,,Standardeinstellung,"evtl. lieber ""Voreinstellung"" - siehe Diskussion https://www.transifex.com/bitcoin/teams/159/discussions/18003/",,,,,defaŭlto,,"por defecto, predeterminado",,,,,,,,,,,,,,,,پیش فرض,,,,,,valeur par défaut,,בררת מחדל,,,,zadana vrijednost,,,,,,,,,,,,初期値,,ნაგულისხმევი,,,,,,,,,,,,praedefinitum (n.),,,,,,,,,,,,,,,,,,,,,,standaard,,,,domyślny,,,,,,,,по умолчанию,,,,,,,,,,,,,,,,,,,,,,,,ఉపేక్షం,,,,,,,,типово,,,,,,,,,,,,,,,,默认,,,,預設值,,,
default,Verb,,,,verstek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初期値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delete,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ta bort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,Noun,,,,,,,,,,,,,,подробност,,,,,,,,,,,,,,,,Detail,,,,,,detalo,,detalle,,,,,,,,,,,,,,,,,,,,,,détail,,,,,,detalj,,,,,,,,,,,,詳細,,დეტალი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,detail,,,,szczegół,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,వివరము,,,,,,,,,,,,,,,,,,,,,,,,,,,,明細,,,
detail,Verb,"Is this the verb ""to detail""? It isn't marked as noun/verb/etc.",,,,,,,,,,,,,описвам,(подробно),,,,,,,,,,,,,,,zuweisen,,,,,,,,detallar,,,,,,,,,,,,,,,,,,,,,,préciser,indiquer,,,,,utanačiti,,,,,,,,,,,,詳細,,დეტალიზება,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wyszczególnić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明細,,,
details,Noun,,,,,,,,,,,,,,подробности,,,,,,,,,,,,,,,,Details,,,,,,detaloj,,detalles,,,,,,,,,,,,,,,,,,,,,,détails,,פרטים,,,,detalji,,,,,,,,,,dettagli,,詳細,,დეტალები,,,,,,,,,,,,particularia particularium (n.),,,,,,,,,,,,,,,,,,,,,,details,,,,szczegóły,,,,,,,,,,,,,,,,,,,,,,,,,,detaljer,,,,,,వివరాలు,,,,ayrıntılar,,,,,,,,,,,,,,,,,,,,详情，详细信息,,,,明細,,,
diagnostic,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnostics,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,directorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,map,,,,,,,,,,,folder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directory,Noun,,,,gids,,,,,,,,,,,,,,,,,,,,,,,,,,Verzeichnis,,,,,,,,directorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deshabilitada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disabled,Adjective,,,,gedeaktiveer,,,,,,,,,,,,,,,,,,,,,,,,,,deaktiviert,,,,,,,,deshabilitado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uitgeschakeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вимкнено,,,,,,,,,,,,,,,,,,,,,,,
disk,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
download,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust,Noun,,,,,,,,غبار,,,,,,"остатък, -ци",,,,,,,,,,,,,,,,Staub,,,,,,polvo,,polvo,,,,,,,,,,,,,,,,,,tomu,,,,poussière,,אבק,,,,,,,,,,,,,,,,,,"ნაშთი, მტვერი, ფულის დასტა",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,støv,,,,stof,,,,kurz,,,,,,,,пыль,,,,,,,,,,,,,,,,,,damm,,,,,,,,,,toz,,,,пил,,,,,,,,,,,,,,,,,,,,零散錢,,,
e.g.,Noun,,,,,,,,,,,,,,т.е.,,,,,,,,,,,,,,fx,,z. B.,,,,,,,,por ejemplo,,,,,,,,,,,,,,,,,,,,,,p. ex.,,למשל,,,,n.p.r.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bijvoorbeeld,,,,np.,,,,,,,,,,,,,,,,,,,,,,,,,,t.ex.,,,,,,ఉదా.,,,,,,,,тобто,,,,,,,,,,,,,,,,,,,,例子,,,
ecrypt,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edit,Verb,,,,,,,,,,,,,,редактирам,,,,,,,,,,,,,,redigere,,bearbeiten,,,,,,redakti,,editar,,,,,,,,,,,,,,,,ویرایش,,,,,,modifier,,,,,,uredi,,,,,,,,,,modificare,,編集,,რედაქტირება,,,,,,,,,,,,mutare mutavisse mutatum,,,,,,,,,,,,,,,,,,,,,,bewerk,,,,edytować,,,,,,,modifică,,,,,,,,,,,,,,,,,,,redigera,,,,,,సవరించు,,,,düzenlemek,,,,редагувати,,,,,,,,,,,,,,,,编辑,,,,編輯,,,
enable,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encrypt,Verb,,,,,,,,,,,,,,шифриром,,,,,,,,,,,,,,kryptere,,verschlüsseln,,,,,,ĉifri,,encriptar,"encrypt is ""encriptar"". cipher is ""cifrar"".",,,,,,,,,,,,,,,,,salaa,,,,chiffrer,,הצפן,,,,šifrirati,,,,,,,,,,cifrare,,暗号化する,,დაშიფრვა,,,,,,,,,,,,cifrare cifravisse cifratum,,,,,,,,,,,,,,,,,,,,,,versleutel,,,,szyfrować,,,,,,,,,,,,,,,,,,,,,,,,,,kryptera,,,,,,సంకేతపరుచు,,,,şifrelemek,,,,,,,,,,,,,,,,,,,,加密,,,,加密,,,
encrypted,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encrypted,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מוצפן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encryption,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,הצפנה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enter (text),Verb,,,,,,,,,,,,,,въвеждам (текст),,,,,,,,,,,,,,indtaste (tekst),,(Text) eingeben,,,,,,entajpi (tekston),,,,,,,,,,,,,,,,,,,,,,,,saisir,,,,,,unijeti (tekst),,,,,,,,,,,,入力(テキスト),,შეყვანა (ტექსტის),,,,,,,,,,,,inserere inseruisse insertum,,,,,,,,,,,,,,,,,,,,,,voer in,,,,wprowadzać (tekst),,,,,,,Introdu (text),,,,,,,,,,,,,,,,,,,,,,,,,(వాచకం) చేర్చు,,,,,,,,,,,,,,,,,,,,,,,,输入 键入（文本）,,,,輸入,,,
entered,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entry,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
error,Noun,,,,fout,,,,,,,,,,грешка,,,,,,,,,,,,,,fejl,,Fehler,,,,,,eraro,,error,,,,,,,,,,,,,,,,,,virhe,,,,erreur,,שגיאה,,,,pogreška,,,,,,,,,,errore,,エラー,,შეცდომა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fout,,,,błąd,,,,,,,eroare,,,,,,,,,,,,,,,,,,,fel,,,,,,లోపం,,,,,,,,помилка,,,,,,,,,,,,,,,,,,,,錯誤,,,
error message,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exist,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expired,Verb,,,,verstryk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,פג תוקף,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verlopen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export,Verb,,,,uitvoer,,,,,,,,,,изнасям,,,,,,,,,,,,,,eksportere,,,,,,,,eksporti,,exportar,,,,,,,,,,,,,,,,,,,,,,exporter,,יצוא,,,,izvezi,,,,,,,,,,esportare,,,,ექსპორტი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exporteer,,,,eksportować,,,,,,,,,,,,,,,,,,,,,,,,,,exportera,,,,,,ఎగుమతి,,,,,,,,,,,,,,,,,,,,,,,,,,,,匯出,,,
fail,Verb,,,,,,,,,,,,,,неуспешно действие,,,,,,,,,,,,,,,,,,,,,,malsukcesi,,,,,,,,,,,,,,,,,,,,,,,,échouer,,,,,,iznevjeriti,,,,,,,,,,,,失敗する,,შეცდომა,,,,,,,,,,,,aboriri abortum,,,,,,,,,,,,,,,,,,,,,,mislukt,,,,zawieść,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,విఫలం,,,,,,,,,,,,,,,,,,,,,,,,失败，未通过,,,,失敗,,,
fallbackfee,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
