term,pos,comment,ach,comment_ach,af,comment_af,am,comment_am,ar,comment_ar,az,comment_az,be,comment_be,bg,comment_bg,bn,comment_bn,bs,comment_bs,ca,comment_ca,cmn,comment_cmn,cs,comment_cs,cy,comment_cy,da,comment_da,de,comment_de,el,comment_el,en_GB,comment_en_GB,eo,comment_eo,es,comment_es,es_CL,comment_es_CL,es_CO,comment_es_CO,es_DO,comment_es_DO,es_MX,comment_es_MX,es_VE,comment_es_VE,et,comment_et,eu,comment_eu,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,hy,comment_hy,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,kk,comment_kk,km,comment_km,ko,comment_ko,ku_IQ,comment_ku_IQ,ky,comment_ky,la,comment_la,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr_IN,comment_mr_IN,ms,comment_ms,my,comment_my,nb,comment_nb,ne,comment_ne,nl,comment_nl,pam,comment_pam,pl,comment_pl,pt,comment_pt,pt_BR,comment_pt_BR,ro,comment_ro,ru,comment_ru,sah,comment_sah,si,comment_si,sk,comment_sk,sl,comment_sl,sn,comment_sn,sq,comment_sq,sr,comment_sr,sr@latin,comment_sr@latin,sv,comment_sv,szl,comment_szl,ta,comment_ta,te,comment_te,th,comment_th,tr,comment_tr,tt,comment_tt,uk,comment_uk,ur,comment_ur,uz@Cyrl,comment_uz@Cyrl,uz@Latn,comment_uz@Latn,vi,comment_vi,yo,comment_yo,zh,comment_zh,zh-Hans,comment_zh-Hans,zh_CN,comment_zh_CN,zh_HK,comment_zh_HK,zh_TW,comment_zh_TW,zu,comment_zu
fatal,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fee,Noun,,,,fooi,,,,,,,,,,такса,,,,,,,,,,poplatek,,,,gebyr,,Gebühr,,,,,,krompago,,comisión,"""Fee"" is one of the most common terms on bitcoin literature. It is sometimes translated in Spanish as ""tasa"" or ""tarifa"". However, ""comisión"" is probably most widely used.",,,,,,,,,,,,,,,,,,"Multiple translations depending on situation: taksa, maksu, palkkio, kulu etc.",,,frais,Toujours au pluriel,עמלה,,,,naknada,,,,,,,,,,,,手数料,,"საფასური, საკომისიო, ღირებულება, გადასახადი",,,,,,,,,,,,merces mercedis (f.),,,,,,,,,,,,,,,,,,,,,,vergoeding,"> Seen this translated as 'kost' as well as 'vergoeding', I think vergoeding is much better.
I disagree, when used in a sentence, it unnecessary complicates the message (example: transactiekosten vs transactievergoeding).",,,prowizja,"opłata?
",,,,,,taxă,комиссия,,,,,,,,provizija,,,,,,,,,,avgift,,,,,,ఫీజు,,,,ücret,,,,комісія,,,,,,,,,,,,,,,,,,,,費用,費,,
file,Noun,,,,lêer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bestand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form,Noun,,,,vorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formo,,formulario,,,,,,,,,,,,,,,,فرم,,,,,,formulaire,,טופס,,,,formular,,,,,,,,,,,,フォーム,,ფორმა,,,,,,,,,,,,schema,,,,,,,,,,,,,,,,,,,,,,,,,,formularz,,,,,,,formular,,,,,,,,,,,,,,,,,,,formulär,,,,,,,,,,,,,,форма,,,,,,,,,,,,,,,,表格，表单,,,,表單,表,,
generate,Verb,,,,,,,,,,,,,,генерирам,,,,,,,,,,,,,,generere,,,,,,,,krei,,generar,,,,,,,,,,,,,,,,,,,,,,générer,,יצור,,,,stvoriti,,,,,,,,,,,,,,გენერირება,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genereer,,,,generować,,,,,,,generează,,,,,,,,,,,,,,,,,,,skapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生產,,,
generated,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hash,Noun,,,,,,,,,,,,,,хеш,,,,,,,,,,,,,,hash,,,,,,,,,,hash,,,,,,,,,,,,,,,,,,,,,,hachage,,גיבוב,,,,hash,"ne znam kako bih ovo preveo. Neke stvari je bolje uvesti, evo google prijedloga:
paprikaš,mješavina,smjesa, papazjanija",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hash,,,,hasz,,,,,,,,хэш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,хеш,,,,,,,,,,,,,,,,,,,,雜湊值,,,
help,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
help message,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
history,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour,Noun,,,,uur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hours,Noun,,,,ure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icono,,,,,,,,,,,,,,,,,,,,,,,,צלמית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icon,Noun,,,,,,,,,,,,,,икона,,,,,,,,,,,,,,ikon,,,,,,,,bildsimbolo,,icono,,,,,,,,,,,,,,,,,,,,,,icône,,סמל,,,,ikona,,,,,,,,,,icona,,アイコン,,იკონა,,,,,,,,,,,,"icon, iconis (f.)",,,,,,,,,,,,,,,,,,,,,,icoon,,,,ikona,,,,,,,,,,,,,,,,,,,,,,,,,,ikon,,,,,,చిహ్నం,,,,simge,,,,іконка,,,,,,,,,,,,,,,,图标,,,,圖示,,,
if,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
import,Verb,,,,invoer,,,,,,,,,,внасям,,,,,,,,,,,,,,importere,,,,,,,,importi,,importar,,,,,,,,,,,,,,,,وارد کردن,,,,,,importer,,יבוא,,,,uvesti,,,,,,,,,,importare,,,,იმპორტი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,importeer,,,,importować,,,,,,,,,,,,,,,,,,,,,,,,,,importera,,,,,,దిగుమతి,,,,,,,,,,,,,,,,,,,,,,,,,,,,匯入,,,
inbound,Adjective,,,,inkomende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingående,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incorrect,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indexing,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initialized,Adjective,,,,geïnitialiseer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inicializado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inválida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
invalid,Adjective,,,,ongeldige,ongeldig,,,,,,,,,невалиден / неправилен,,,,,,,,,,,,,,ugyldig,,,,,,,,nevalida,,inválido,,,,,,,,,,,,,,,,نامعتبر,,kelvoton,,,,invalide,,שגוי,,,,nevažeći,,,,,,,,,,non valido,,,,დაუშვებელი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ongeldig,,,,nieważny,,,,,,,invalid,,,,,,,,,,,,,,,,,,,ogiltig,,,,,,చెల్లదు,,,,geçersiz,,,,,,,,,,,,,,,,,,,,,,,,無效,,,
key,Noun,,,,,,,,,,,,,,,,,,,,clau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keypool,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,réserve de clés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Noun,,,,etiket,,,,,,,,,,,,,,,,,,,,,,,,mærkat,,,,,,,,etikedo,,etiqueta,,,,,,,,,,,,,,,,,,,,,,étiquette,,תווית,,,,oznaka,,,,,,,,,,etichetta,,,,ნიშნული,,,,ឡាបែល,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etiket,,,,etykieta,,,,,,,etichetă,,,,,,,,,,,,,,,,,,,etikett,,,,,,లేబుల్,,,,etiket,,,,,,,,,,,,,,,,,,,,,,,,標記,,,
length,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dolžina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inläsning,Microsoft language portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,läsa in,Microsoft language portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lock,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,låse,,,,,,,,ŝlosi,,bloquear,,,,,,,,,,,,,,,,,,,,,,verrouiller,,נעילה,,,,zaključati,,,,,,,,,,,,ロック,,დაბლოკვა,,,,,,,,,,,,serare seravisse seratum,,,,,,,,,,,,,,,,,,,,,,op slot doen,,,,zablokować,,,,,,,blochează,,,,,,,,,,,,,,,,,,,,,,,,,బిగించు,,,,,,,,,,,,,,,,,,,,,,,,锁定,,,,鎖,鎖上,,
malware,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,programme malveillant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map,Noun,,,,kaart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mapo,,mapa,,,,,,,,,,,,,,,,,,,,,,mappe,,מפה,,,,mapa,karta?,,,,,,,,,mappa,,関連づける,,რუკა,,,,,,,,,,,,designatio designationis (f.),,,,,,,,,,,,,,,,,,,,,,,,,,mapa,,,,,,,hartă,,,,,,,,,,,,,,,,,,,,,,,,,పటం,,,,,,,,,,,,,,,,,,,,,,,,,,,,對應值,,,
map,Verb,,,,karteer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mapi,,mapear,,,,,,,,,,,,,,,,,,,,,,mapper,,מיפוי,,,,mapirati,ucrtati na mapu,,,,,,,,,,,関連づける,,რუკის შედგენა,,,,,,,,,,,,designare designavisse designatum,,,,,,,,,,,,,,,,,,,,,,,,,,mapować,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,設定對應,,,
mature,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maturiĝi,,,,,,,,,,,,,,,,,,,,,,,,arriver à maturité,,,,,,dozrijeti,,,,,,,,,,,,,,"განვითარება, მომწიფება",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dojrzeć,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,పరిపక్వ,,,,,,,,,,,,,,,,,,,,,,,,,,,,熟成,,,
matured,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matura,,,,,,,,,,,,,,,,,,,,,,,,mûr,,,,,,zreo,,,,,,,,,,,,,,"ზრდასრული, მზადმყოფი",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dojrzały,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,недозрілий,,,,,,,,,,,,,,,,,,,,已熟成,,,
memory pool,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,hukommelsespulje,,Speicherpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,réserve de mémoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,記憶體暫存池,,,
mempool,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,hukommelsespulje,,,,,,,,,,mempool,,,,,,,,,,,,,,,,,,,,,,réserve de mémoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,内存池,,,,記憶池,,,
message,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mine,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,mine,,erarbeiten,,,,,,mini,,minar,,,,,,,,,,,,,,,,,,,,,,miner,,,,,,kopati,,,,,,,,,,,,私のもの,,მოპოვება,,,,,,,,,,,,fodere fodisse fossum,,,,,,,,,,,,,,,,,,,,,,mijnen,,,,kopać,"W kontekście Bitcoinów najczęściej spotykaną formą jest ""kopanie bitcoinów"". Można korzystać też z formy ""wydobywać"", ale jest bardziej ogólna i dalsza od oryginału.",,,,,,minează,генерация,,,,,,,,,,,,,,,,,,bryta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,開採,,,
mined,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,minet,,erarbeitet,,,,,,minita,,minado,"La traducción exacta depende del contexto. Puede traducirse como: minado, minada, minados, minadas.",,,,,,,,,,,,,,,,,,,,,miné,généré,,,,,iskopan,,,,,,,,,,,,,,მოპოვებული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gemijnd,,,,wydobyty,,,,,,,,,,,,,,,,,,,,,,,,,,bruten,,,,,,,,,,,,,,добутий,,,,,,,,,,,,,,,,,,,,開採出,,,
miners,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimize,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,minimere,,,,,,,,minimumigi,,minimizar,,,,,,,,,,,,,,,,,,,,,,réduire,,מזעור,,,,umanjiti,,,,,,,,,,minimizzare,,最小化,,მინიმიზება,,,,,,,,,,,,minifacere minifecisse minifactum,,,,,,,,,,,,,,,,,,,,,,minimaliseer,,,,minimalizować,,,,,,,minimizează,,,,,,,,,,,,,,,,,,,minimera,,,,,,తగ్గించు,,,,,,,,згорнути,,,,,,,,,,,,,,,,最小化,,,,縮到最小,,,
minute,Noun,,,,minuut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minuto,,,,,,,,,,,,,,,,,,,,,,,,דקה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minuut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minutes,Noun,,,,minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minutos,,,,,,,,,,,,,,,,,,,,,,,,דקות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minuten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minuter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modify,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,необходимо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needed,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,необходимый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netmask,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,netmaske,,Netzmaske,,,,,,,,netmask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ネットマスク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network,Noun,,,,netwerk,,,,,,,,,,,,,,,,xarxa,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,רשת,,,,,,,,,,,,,,,,ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,netwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network type,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,knude,,Knoten,,,,,,,,nodo,,,,,,,,,,,,,,,,,,,,,,nœud,,שרת ביטקוין,I translated it as 'bitcoin server' as I could't find a more fitting translation,,,čvor,,,,,,,,,,nodo,,ノード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,węzeł,,,,,,,nod,узел,,,,,,,,,,,,,,,,,,nod,,,,,,,,,,düğüm,,,,вузол,,,,,,,,,,,,,,,,,,,,節點,,,
node (n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occurred,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
only,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
open,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,状态待定,,,,,,,
