term,pos,comment,af,comment_af,ar,comment_ar,be,comment_be,bg,comment_bg,bn,comment_bn,ca,comment_ca,cs,comment_cs,da,comment_da,de,comment_de,el,comment_el,eo,comment_eo,es,comment_es,et,comment_et,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,gu,comment_gu,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,km,comment_km,ko,comment_ko,ku,comment_ku,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr,comment_mr,ms,comment_ms,my,comment_my,nl,comment_nl,no,comment_no,pl,comment_pl,pt_BR,comment_pt_BR,pt_PT,comment_pt_PT,ro,comment_ro,ru,comment_ru,si,comment_si,sk,comment_sk,sl,comment_sl,sq,comment_sq,sr,comment_sr,sv,comment_sv,ta,comment_ta,th_TH,comment_th_TH,tr,comment_tr,uk,comment_uk,ur,comment_ur,uz,comment_uz,vi,comment_vi,zh_CN,comment_zh_CN,zh_TW,comment_zh_TW
Responsible,Adjective,,,,,,,,,,,,,,,,,,,,,,,,responsable,,,,,,,,,,,,,,,,,,,,,,,,,,responsabile,,,,,,ដែលទទួលខុសត្រូវ,,,,,,atsakingas,,,,,,,,,,,,,,,,Verantwoordelijk,,,,,,,,,,,,,,,,,,,,,,,,Ansvarig,,,,,,,,,,,,,,,,,,,
Signing Keys,Noun,,,,,,,,,,,,,,,,,,,,,,,,llaves de firma,,,,,,,,,,,,,,,,,,,,,,,,,,Chiavi di Firma,,,,,,Signing Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Noun,,,,,,,,,,,,,,,,,,,,,,,,fuente,,,,,,,,,,,,,,,,,,,,,,,,,,Sorgente,,,,,,ប្រភព,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burim,,,,Källa,,,,,,,,,,,,,,,,源,,,
Stack Exchange,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stack Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stack Exchange,,,,,,,,,,,,,,,,Stack Exchange,,,
StackExchange,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StackExchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StackExchange,,,,,,,,,,,,,,,,StackExchange,,,
UTXO,Noun,Unspent Transaction Output,,,,,,,,,,,,,,,,,,,,,,,,salida de transacción no gastada,,,,,,,,,,,,,,,,,,,,,,,,,UTXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTXO,,,,,,,,,,,,,,,,未使用交易输出,建议英文注释UTXO,,
Variable,Noun,,,,,,,,,,,,,,,,,,,,,,,,variable,,,,,,,,,,,,,,,,,,,,,,,,,,Variabile,,,,,,អញ្ញត,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verify,Verb,,,,,,,,,,,,,,,,,,,,,,,,verficar,,,,,,,,,,Vérifier,,,,,,,,,,,,,,,,Verificare,,,,,,ផ្ទៀងផ្ទាត់,,,,,,patvirtinti,,,,,,,,,,,,,,,,Verifiëren,,,,,,,,,,,,,,,,,,,,verifiko,,,,Verifiera,,,,,,,,,,,,,,,,验证,,,
WARNING,Noun,,,,,,,,,,,,,,,,,,,,,,,,ADVERTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,ATTENZIONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cosa,,,,,,តើអ្វី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מסמך עמדה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White paper,Noun,,,,,,,,,,,,,,,,,,,,,,,,Libro blanco,,,,,,,,,,,,,,,,,,,,,,,,,,White Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitbok,,,,,,,,,,,,,,,,,,,
Wiki,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,,,,,,,,Wiki,,,,,,វីគី,,,,,,Wiki,,,,,,,,,,,,,,,,Wiki,,,,,,,,,,,,,,,,,,,,,,,,Wiki,,,,,,,,,,,,,,,,维基,,,
access,Noun,,,,,,,,,,,,,,,,,,,,,,,,acceso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,åtkomst,,,,,,,,,,,,,,,,,,,
activities,Noun,,,,نشاطات,,,,,,,,,,,,,,,,Δραστηριότητες,Δραστηριότητες ,,,actividades,,,,,,,,,,,,,,,,,,,,,,,,,,attività,,,,,,សកម្មភាព,,,,,,veiklos,,,,,,,,,,,,,,,,activiteiten,,,,,,,,atividades,,,,активы,,,,,,,,,,,,aktiviteter,,,,,,,,,,,,,,,,活动,,,
additional,Adjective,,,,,,,,,,,,,,,,,,,,Επιπρόσθετος,,,,adicional,,,,,,,,,,,,,,,,,,,,,,tambahan,,,,aggiuntivo,,,,,,បន្ថែម,,,,,,"papildomas, -a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adopt,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,införa,,,,,,,,,,,,,,,,,,,
adoption,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adopsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,införande,,,,,,,,,,,,,,,,,,,
advantage,Adjective,,,,افضلية,,,,,,,,,,,,,,,,Πλεονέκτημα,,,,ventaja,,,,,,,,,,avantage,,,,,,,,,,,,,,,,vantaggio,,,,,,គុណសម្បត្តិ,,,,,,,,,,,,,,,,,,,,,,voordeel,,,,,,,,vantagem,,,,,,,,,,,,,,,,fördel,,,,,,,,,,,,,,,,优势,,,
advantages,Adjective,,,,مزايا,,,,,,,,,,,,,,,,Πλεονεκτήματα,,,,ventajas,,,,مزایا,,,,,,avantagé,,,,,,,,,,,,,,,,vantaggi,,,,,,គុណសម្បត្តិ,,,,,,,,,,,,,,,,,,,,,,voordelen,,,,,,,,vantagens,,,,,,,,,,,,,,,,fördelar,,,,,,,,,,,,,,,,优势,,,
alert,Noun,,,,,,,,,,,,,,,,,,,,Συναγερμός,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avviso,,,,,,ប្រយ័ត្នប្រយែង,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avisering,,,,,,,,,,,,,,,,,,,
alerts,Noun,,,,,,,,,,,,,,,,,,,,Συναγερμοί,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avvisi,,,,,,ការប្រយ័ត្នប្រយែងច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aviseringar,,,,,,,,,,,,,,,,,,,
all,Adjective,,,,,,,,,,,,,,,,,,,,"Όλοι, όλες, όλα",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tutti,,,,,,ទាំងអស់,,,,,,visi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also,Adverb,,,,,,,,,,,,,,,,,,,,Επίσης,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anche,,,,,,បន្ថែម,,,,,,taip pat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an,Preposition,,,,,,,,,,,,,,,,,,,,"Ένας, μία, ένα",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,un,,,,,,មួយ,,,,,,,artikelis neverčiamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,Conjunction,,,,,,,,,,,,,,,,,,,,Και,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,,,,,,និង,,,,,,ir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anonymous,Noun,,,,,,,,,,,,,,,,,,,,Ανώνυμος,,,,anónimo,,,,ناشناس,,,,,,Anonyme,,,,,,,,,,,,,,,,anonimo,,,,,,អនាមិក,,,,,,nežinomas,,,,,,,,,,,,,,,,anoniem,,,,,,,,anónimo,,,,,,,,,,,,,,,,anonym,,,,,,,,,,,,,,,,匿名,,,
app(lication),Noun,,,,البرنامج,,,,,,,,,,,,,,,,Εφαρμογή,,,,,,,,اپلیکیشن,,,,,,Apps,,,,,,,,aplikacija,,alkalmazás,,aplikasi,,,,app(licazione),,,,,,កម្មវិធី,,,,,,,,,,,,,,,,,,,,,,app,,,,,,,,app,aplicação,,,приложение,,,,,,aplikacija,,,,,,app(likation),,பயன்பாடு,,,,,,додаток,,,,,,,,应用程序,,,
attacker,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,penyerang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angripare,,,,,,,,,,,,,,,,,,,
authentication,Noun,,,,المصادقة,,,,,,,,,,,,,,,,Επιβεβαίωση,,,,autenticación,,,,احراز هویت,,,,,,Authentification,,,,,,,,,,,,,,,,autenticazione,,,,,,ការបញ្ជាក់តាមយថាភូត,,,,,,autorizavimas,,,,,,,,,,,,,,,,,,,,,,,,autenticação,,,,,,,,,,,,,,,,autentisering,,,,,,,,,,,,,,,,授权,,,
backup,Noun,,,,نسخة احتياطية,,,,,,,,còpia de seguretat,,,,,,,,Αντίγραφο ασφαλείας,,,,copia de seguridad,,,,نسخه پشتیبان,,,,,,sauvegarde,,,,גיבוי,,,,"rezervna kopija, sigurnosni duplikat",,biztonsági mentés,,cadangan,,,,backup,,,,,,ចម្លងទុក,,백업,,,,,,,,,,കരുതൽ ശേഖരം,,,,,,,,,,back-up,,,,kopia zapasowa,,,,cópia de segurança,,,,Резервная копия,,,,,,rezervna kopija,,,,,,säkerhetskopia,,காப்பு பிரதி,,,,destek,,,,,,,,,,备份,,,
balance,Noun,,,,الرصيد,,,,,,,,,,,,,,,,Τρέχουσα τιμή,,,,balance,,,,موجودی,,,,,,solde,,,,יתרה,,,,saldo,,egyenleg,Kontextustól függően.,,,,,saldo,,,,ბალანსი,,សមតុល្យ,,잔액,,,,balansas,,,,,,ബാക്കി,,,,,,,,,,saldo,,,,saldo,,,,saldo,,,,баланс,,,,,,stanje,,,,,,saldo,,கணக்கு மிகுதி,,,,bakiye,,баланс,,,,,,,,余额,,,
bandwidth,Noun,,,,عرض النطاق,,,,,,,,,,,,,,,,Εύρος ζώνες,,,,ancho de banda,,,,پهنای‌باند,,,,,,Bande Passante,,,,,,,,,,,,,,,,larghezza di banda,,,,,,កម្រិតបញ្ជូន,,대역폭,,,,,,,,,,,,,,,,,,,,bandbreedte,,,,,,,,largura de banda,,,,,,,,,,prepustnost,,,,,,bandbredd,,,,,,,,,,,,,,,,带宽,,,
bank,Noun,,,,,,,,,,,,,,,,,,,,Τράπεζα,,,,banco,,,,,,,,,,,,,,,,,,,,,,,,,,banca,,,,,,ធនាគារ,,,,,,bankas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic,Noun,,,,,,,,,,,,,,,,,,,,Βασικός,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basilare,,,,,,ជាមូលដ្ឋាន,,,,,,pagrindas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
become,Verb,,,,يصبح,,,,,,,,,,,,,,,,"Γίνομαι, εξελίσσομαι",,,,convertirse,Volverse/convertirse en algo distinto,,,,,,,,,Devenir,,,,,,,,,,,,,,,,diventare,,,,,,ប្រែក្លាយ ក្លាយទៅជា,,,,,,tapti,,,,,,,,,,,,,,,,,,,,,,,,tornar-se,,,,,,,,,,,,,,,,bli,,,,,,,,,,,,,,,,,,,
bit,Noun,,,,بت,,,,,,,,,,,,,,,,Μπιτ,,,,,,,,بیت,,,,,,,,,,,,,,,,,,,,,,bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pouco,,,,,,,,,,,,,,,,bit,,,,,,,,,,,,,,,,比特,信息单位,,
bitcoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ביטקוינים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitcoin,Noun,Referring to the unit of account,,,بت كوين,,,,,,,,,,,,,,,,"bitcoin, μονάδα μέτρησης",,,,bitcoin,"Al referirse a la moneda como unidad. Lo mismo aplica para ""bitcoins"". Ejemplo 1: Un bitcoin vale más que un litecoin.",,,بیت‌کوین,,,,,,bitcoin,,,,ביטקוין,,,,bitcoin,,"bitcoin, bitcoint",Kisbetűvel pénzként értendő.,,,,,bitcoin,Si riferisce all'unità di un account.,,,,, bitcoin,,,,,,bitkoinas,,,,,,,,,,,,,,,,bitcoin,,,,bitcoin,,,,bitcoin,cripto moeda,,,биткойн,,,,,,bitcoin,,,,,,bitcoin,"Syftar på valutaenheten. ""en bitcoin"" i likhet med ""en krona/dollar/mark/franc"" etc.",பிட்காயின்,,,,,,біткойн,,,,,,,,比特币,,,
bitcoin client,Noun,,,,زبون بت كوين ,,,,,,,,,,,,,,Bitcoin-Client,,Πελάτης Bitcoin,,,,cliente Bitcoin,,,,,,,,,,client Bitcoin,,,,לקוח ביטקוין,,,,bitcoin klijent,,bitcoin kliens,,,,,,client di bitcoin,,,,,,ភ្ញៀវBitcoin,,비트코인 클라이언트,,,,„Bitcoin“ klientinė programa,,,,,,ബിറ്റ്കോയിൻ ക്ലയന്റ്,,,,,,,,,,Bitcoin-client,,,,klient Bitcoin,,,,cliente bitcoin,,,,Bitcoin клиент,программа для осуществления платежей в Bitcoin,,,,,bitcoin-odjemalec,,,,,,bitcoinklient,,பிட்காயின் கிளைன்ட்,,,,bitcoin müşterisi,,біткойн клієнт,,,,,,,,比特币客户端,,Bitcoin 用戶端,使用「用戶端」以分辨 Client->用戶/用戶端 與 User->使用者  的差別
bitcoin.org,,,,,,,,,,,,,,,,,,,,,bitcoin.org,,,,,,,,,,,,,,,,,,bitcoin.org,,,,,,bitcoin.org,,,,,,bitcoin.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bitcoin.org,,,,,,,,,,,,,,,,,
bitcoins,Noun,,,,,,,,,,,,,,,,,,,,Bitcoins,Ηλεκτρονικά νομίσματα,,,,,,,,,,,,,,,,,,,,,,,bitcoinok,,,,,,bitcoin,,,,,,bitcoins,,,,,,bitkoinai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,பிட்காயின்கள்,,,,,,,,,,,,,,,,,
block,Noun,,,,,,,,,,,,,,,,,,,,Μπλοκ,Μπλοκ ονομάζονται οι κομβοι που σπάνε και παράγουν bitcoin για τους miners.,,,bloque,,,,,,,,,,,,,,,,,,,,blokk,,,,,,blocco,,,,,,block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block chain,Noun,"Does often get translated into the correspondent language (e.g. in French ""chaine de blocs"", ""Blockkette"" in German, ""Catena di Blocchi"" in Italian or in Romanian ""Lanţul de blocuri"").",,,,"Has no translation
",,,,,,,,,,,,,Blockkette,,Blockchain,Μπλοκτσειν ονομάζεται το δίκτυο πληρωμών ,,,cadena de bloques,,,,زنجیره بلاک‌ها,زنجیره بلوکی رایجتر هست,,,,,chaîne de blocs,,,,,,,,lanac blokova,,blokklánc,A http://bitcoin.hu/?page_id=1105 oldalt segítségül hívva.,,,,,block chain,,,,,,ចង្វាក់ម្តំុ,,블럭 체인,,,,,,bloku ķēde,,,,ബ്ലൊക്ക് ചെയിൻ,,,,,,,,,,blokketen,,,,,,,,cadeia de blocos,,,,блокчейн,место учета всех транзакций,,,,,veriga blokov,,,,,,blockkedja,,,,,,blok zinciri,,ланцюг блоків,,,,,,,,区块链,,區塊鏈,
blockchain,,,,,,,,,,,,,,,,,,,,,Blockchain,Αλυσίδα συναλλαγών ,,,cadena de bloques,,,,,,,,,,,,,,שרשרת הבלוקים,,,,,,,,,,,,blockchain,o catena di blocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bought,Verb,,,,,,,,,,,,,,,,,,,,Αγόρασα,Αόριστος του ρήματος buy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comprare,,,,,,បានទិញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bought up,Verb,,,,,,,,,,,,,,,,,,,,Αγόρασα ακριβά,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accaparrare,,,,,,បានទិញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browse,Verb,,,,,,,,,,,,,,,,,,,,Ξεφυλλίζω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,navigare,,,,,,រកបង្ហាញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
build,Verb,,,,,,,,,,,,,,,,,,,,Χτίζω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,costruire,,,,,,សាងសង់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business,Noun,,,, اعمال,,,,,,,,negoci,,,,,,Unternehmen,,Επιχείρηση,,,,negocios,Negocio/negocios,,,تجارت,,,,,,commerce,,,,עסק,,,,posao,,üzlet/cég/vállakozás,"Kontextustól függően: önmagában állva cég, in business - az üzletben, üzleti életben",,,,,attività commerciale,,,,,,ជំនួញ,,사업/업무,상황에 따라 전자 혹은 후자 택일,,,verslas,,,,,,വാണിജ്യം,,,,,,,,,,bedrijf,This is context-dependent for Dutch,,,,,,,negócio,,,,бизнес,,,,,,posel; podjetje,,,,,,företag,"skulle kunna vara ""verksamhet""",வணிகம்,,,,işletme,,,,,,,,,,业务,,商務,企業
buy,Verb,,,,,,,,,,,,,,,,,,,,Αγοράζω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acquistare,,,,,,ទិញ,,,,,,pirkti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,Verb,,,,,,,,,,,,,,,,,,,,Μπορώ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,potere,,,,,,អាច,,,,,,galiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can't,Verb,,,,,,,,,,,,,,,,,,,,Δεν μπορώ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non potere,,,,,,មិនអាច,,,,,,negali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change address,Noun,,,,تغيير العنوان,,,,,,,,,,,,,,,,Αλλάζω διεύθυνση,,,,cambiar dirección,,,,تغییر آدرس,,,,,,Changement d'adresse,,,,שנה כתובת,,,,promijena adrese,adresa na koju se vraćaju nepotrošeni bitcoini iz transakcije,,,ganti alamat,,,,cambia indirizzo,,,,,,ដូរអាស្រយដ្ឋាន,,,,,,pakeisti adresą,,,,,,,,,,,,,,,,wijzigingsadres,,,,,,,,alterar endereço,,,,адрес для сдачи,,,,,,naslov za drobiž,,,,,,byt adress,Det står att originalet är ett substantiv. Svensk översättning passar inte. Jag tror det handlar om den adress som växelpengar skickas till.,,,,,,,,,,,,,,,零钱地址,,,
chargeback,Noun,,,,استعادة النفقات,,,,,,,,,,,,,,,,Κρυφή χρέωση,,,,devolución,Por Ej. devolución de bienes,,,,,,,,,Rebondissement,,,,,,,,storno troška,,,,,,,,chargeback,,,,,,ទាមកវិញ,,,,,,,,atgrieztais maksājums,,,,,,,,,,,,,,stornering,,,,,,,,chargeback,,,,отмена платежа,,,,,,,,,,,,återbetalning,,,,,,,,,,,,,,,,,,,
click,Verb,,,,,,,,,,,,,,,,,,,,Επιλέγω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cliccare,,,,,,ចុច,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
client side,Noun,,,,,,,,,,,,,,,,,,,,Εκ μέρους του πελάτη,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lato utente,,,,,,ផ្នែកខាងអ្នកមើល,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co-owners,Noun,,,,,,,,,,,,,,,,,,,,,,,,co-propietarios,,,,,,,,,,,,,,,,,,,,,,,,,,co-proprietari,,,,,,សហម្ចាស់,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold storage,,,,,التخزين البارد,,,,,,,,,,,,,,,,Πάγια αποθήκευση,,,,almacenamiento en frío,También almacenamiento fuera de línea/offline,,,,,,,,,stockage à froid,,,,,,,,offline novčanik,offline pohrana bitcoin novčanika,hidegtárolás,,,,,,deposito di bitcoin conservato esternamente alla rete,,,,,,កន្លែងផ្ទុកដែលត្រជាក់,,콜드 스토리지,,,,laikymas šaltai,,,,,,ശീത സംഭരണി,,,,,,,,,,cold storage,,,,,,,,,,,,оффлайновое хранение,хранение биткоинов оффлайн,,,,,hladna hramba,,,,,,kallagring,,,,,,soğuk depo,,,,,,,,,,冷存储,不支持热插拔或不支持双机热备的一种存储数据方法,冷資料儲存,
come,Verb,,,,,,,,,,,,,,,,,,,,Έρχομαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,venire,,,,,,មក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comes,Verb,,,,,,,,,,,,,,,,,,,,Έρχεται,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,venuto,,,,,,មក,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communities,Noun,,,,مجتمعات,,,,,,,,,,,,,,Communities,,Κοινότητες,,,,comunidades,,,,انجمن ها,,,,,,Communautés,,,,,,,,zajednice,,,,,,,,comunità,,,,,,សហគមន៍ច្រើន,,,,,,,,,,,,,,,,,,,,,,gemeenschappen,,,,,,,,comunidades,,,,,,,,,,,,,,,,communities,,,,,,,,,,,,,,,,,,,
community,Noun,,,,مجتمع,,,,,,,,,,,,,,Community,,Κοινότητα,,,,comunidad,,,,محفل,,,,,,Communauté,,,,,,,,zajednica,,közösség,,,,,,Comunità,,,,,,សហគមន៍,,,,,,,,kopiena,,,,,,,,,,,,,,gemeenschap,,,,,,,,comunidade,,,,сообщество,,,,,,skupnost,,,,,,community,,சமூகம்,,,,,,спільнота,,,,,,,,社区,,,
complete,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fullständig,,,,,,,,,,,,,,,,,,,
